id,synset1,depth1,sentence1,synset2,depth2,sentence2,specific
30,Synset('dean.n.03'),2,he is the dean of foreign correspondents,Synset('total_darkness.n.01'),1,they fumbled around in total darkness,0
31,Synset('baronet.n.01'),2,"since he was a baronet he had to be addressed as Sir Henry Jones, Bart.",Synset('reform.n.02'),1,the reforms he proposed were too radical for the politicians,0
32,Synset('sight.n.02'),1,he was a familiar sight on the television,Synset('referral.n.01'),2,the patient is a referral from Dr. Bones,1
33,Synset('treatment.n.02'),2,the handling of prisoners,Synset('scope.n.01'),1,the range of a supersonic jet,0
34,Synset('attack.n.01'),1,the attack began at dawn,Synset('intifada.n.01'),2,the first intifada ended when Israel granted limited autonomy to the Palestine National Authority in 1993,1
35,Synset('contrivance.n.03'),1,his testimony was just a contrivance to throw us off the track,Synset('chap.n.01'),2,that chap is your host,1
36,Synset('attack.n.02'),1,they won the game with a 10-hit attack in the 9th inning,Synset('mobilization.n.01'),2,mobilization of the troops,1
37,Synset('orderer.n.02'),2,Aristotle was a great orderer of ideas,Synset('life.n.06'),1,I have known him all his life,0
38,Synset('tsunami.n.01'),2,a colossal tsunami destroyed the Minoan civilization in minutes,Synset('calendar.n.02'),1,I have you on my calendar for next Monday,0
39,Synset('enucleation.n.01'),1,the enucleation of the tumor,Synset('socialization.n.01'),2,the socialization of medical services,1
40,Synset('reveler.n.01'),2,the clubs attract revelers as young as thirteen,Synset('representation.n.08'),1,certain representations were made concerning police brutality,0
41,Synset('pile.n.03'),1,she made a bundle selling real estate,Synset('spectator.n.01'),2,the spectators applauded the performance,1
42,Synset('band.n.03'),1,chromosomes exhibit characteristic bands,Synset('supporter.n.01'),2,all their supporters came out for the game,1
43,Synset('rail.n.02'),1,he traveled by rail,Synset('twist.n.11'),2,they liked to dance the twist,1
44,Synset('dean.n.03'),2,he is the dean of foreign correspondents,Synset('likeness.n.01'),1,man created God in his own likeness,0
45,Synset('underbelly.n.03'),1,the soft underbelly of the Axis,Synset('high_priest.n.01'),2,he's the high priest of contemporary jazz,1
46,Synset('astonishment.n.01'),1,he looked at me in astonishment,Synset('hajji.n.01'),4,"to American soldiers, the hajji are the alien people from whom the enemy emerges",1
47,Synset('position.n.03'),1,consider what follows from the positivist view,Synset('note.n.02'),2,drop me a line when you get there,1
48,Synset('amniotic_fluid.n.01'),2,before a woman gives birth her waters break,Synset('block.n.06'),1,"since blocks are often defined as a single sector, the terms `block' and `sector' are sometimes used interchangeably",0
49,Synset('shower.n.02'),2,he took a shower after the game,Synset('preponderance.n.01'),1,the preponderance of good over evil,0
50,Synset('note.n.07'),1,his notes were appended at the end of the article,Synset('information_warfare.n.01'),2,not everyone agrees that information warfare is limited to the realm of traditional warfare,1
51,Synset('spirit.n.02'),1,the feel of the city excited him,Synset('armorer.n.01'),2,a sword made by a famous English armorer,1
52,Synset('handcart.n.01'),2,he used a handcart to carry the rocks away,Synset('posting.n.02'),1,the posting was made in the cash account,0
53,Synset('tyramine.n.01'),2,patients taking MAOIs should avoid foods containing tyramine,Synset('system.n.08'),1,exercise helped him get the alcohol out of his system,0
54,Synset('rank.n.01'),1,the entrance was guarded by ranks of policemen,Synset('transient.n.01'),2,transient laborers,1
55,Synset('decision.n.03'),1,had little trouble in taking a unanimous decision over his opponent,Synset('examiner.n.02'),2,the examiner searched for clues,1
56,Synset('orbital_rotation.n.01'),1,satellites in orbital rotation,Synset('brother.n.02'),2,none of his brothers would betray him,1
57,Synset('urgency.n.02'),1,the urgency of his need,Synset('pillar.n.03'),2,he is a pillar of the community,1
58,Synset('contradiction.n.02'),1,the statement `he is brave and he is not brave' is a contradiction,Synset('date.n.02'),2,his date never stopped talking,1
59,Synset('surrogate_mother.n.01'),2,a surrogate mother is artificially inseminated with the father's semen and carries the fetus to term,Synset('voice.n.03'),1,the noisy voice of the waterfall,0
60,Synset('thinness.n.05'),1,he disliked the thinness of the soup,Synset('directed_verdict.n.01'),2,there cannot be a directed verdict of guilty in a criminal trial,1
61,Synset('space.n.08'),1,the spaces are the notes F-A-C-E,Synset('alkali_metal.n.01'),2,the hydroxides of the alkali metals are strongly alkaline,1
62,Synset('mechanism.n.01'),1,he determined unique mechanisms for the photochemical reactions,Synset('keeper.n.01'),2,am I my brother's keeper?,1
63,Synset('pang.n.02'),1,a pang of conscience,Synset('arbiter.n.01'),2,she was the final arbiter on all matters of fashion,1
64,Synset('secretary_of_housing_and_urban_development.n.01'),2,the first Secretary of Housing and Urban Development was Robert C. Weaver who was appointed by Johnson,Synset('memory.n.02'),1,he can do it from memory,0
65,Synset('capacity.n.09'),1,he had drunk beyond his capacity,Synset('cluster_of_differentiation_4.n.01'),3,CD4 is a receptor for HIV in humans,1
66,Synset('tad.n.01'),1,a tad too expensive,Synset('visitation.n.03'),2,the commissioner made visitations to all the precinct stations,1
67,Synset('skeleton.n.01'),2,the battalion was a mere skeleton of its former self,Synset('termination.n.01'),1,the expiry of his driver's license,0
68,Synset('bankruptcy.n.01'),1,spiritual bankruptcy,Synset('sister.n.01'),2,my sister married a musician,1
69,Synset('benefit_of_clergy.n.01'),2,they are living together without benefit of clergy,Synset('throne.n.01'),1,the king sat on his throne,0
70,Synset('male_child.n.01'),2,the baby was a boy,Synset('one-night_stand.n.01'),1,he ran through a series of loveless one-night stands,0
71,Synset('pipe_dream.n.01'),1,I have this pipe dream about being emperor of the universe,Synset('personification.n.01'),2,she is the personification of optimism,1
72,Synset('one_of_the_boys.n.01'),4,he quickly became one of the boys,Synset('conclusion.n.02'),1,jump to a conclusion,0
73,Synset('child_prodigy.n.01'),4,Mozart was a child prodigy,Synset('motherliness.n.01'),1,the girl's motherliness made her invaluable in caring for the children,0
74,Synset('procession.n.02'),3,processions were forbidden,Synset('rebellion.n.01'),2,each generation must have its own rebellion,0
75,Synset('tabulation.n.02'),1,the tabulation of the results,Synset('personality_inventory.n.01'),2,"a personality inventory is a direct test of personality, as contrasted with a projective test",1
76,Synset('power_broker.n.01'),2,a power broker who does you a favor will expect you to return it,Synset('meronym.n.01'),1,`brim' and `crown' are meronyms of `hat',0
77,Synset('starvation.n.02'),2,the besiegers used starvation to induce surrender,Synset('rate.n.04'),1,the literacy rate,0
78,Synset('porringer.n.01'),2,the child was eating pottage from a porringer,Synset('circle.n.01'),1,he calculated the circumference of the circle,0
79,Synset('garment.n.01'),2,garments of the finest silk,Synset('vogue.n.01'),1,leather is the latest vogue,0
80,Synset('gateway_drug.n.01'),2,one college athlete recently called beer a gateway drug for young people,Synset('boldness.n.01'),1,the proposal required great boldness,0
81,Synset('orbit_period.n.01'),1,the orbit period depends on the altitude of the satellite,Synset('stand-in.n.01'),2,the star had a stand-in for dangerous scenes,1
82,Synset('spot_check.n.01'),1,spot checks ensure a high level of performance by employees,Synset('personage.n.01'),2,a strange personage appeared at the door,1
83,Synset('strip_alert.n.01'),1,the Air Force will keep fighters on strip alert at bases around the country,Synset('club.n.06'),2,he led a small club,1
84,Synset('withholder.n.01'),2,a withholder of payments,Synset('witches'_brew.n.01'),1,a witches' brew of gangsters and terrorists,0
85,Synset('blood_pressure.n.01'),2,adult blood pressure is considered normal at 120/80 where the first number is the systolic pressure and the second is the diastolic pressure,Synset('latest.n.01'),1,have you heard the latest?,0
86,Synset('endorsement.n.04'),1,the cashier would not cash the check without an endorsement,Synset('slug.n.05'),5,he took a slug of hard liquor,1
87,Synset('catch.n.01'),1,it sounds good but what's the catch?,Synset('collaboration.n.01'),2,they worked either in collaboration or independently,1
88,Synset('ethicism.n.01'),1,his ethicism often led him to moralize,Synset('dean.n.03'),2,he is the dean of foreign correspondents,1
89,Synset('bankroll.n.01'),1,he shot his roll on a bob-tailed nag,Synset('closed_primary.n.01'),2,closed primaries strengthen party unity,1
90,Synset('option.n.02'),1,what option did I have?,Synset('chit.n.01'),4,she was incensed that this chit of a girl should dare to make a fool of her in front of the class,1
91,Synset('outer_space.n.01'),2,the astronauts walked in outer space without a tether,Synset('flare.n.01'),1,the skirt had a wide flare,0
92,Synset('secretary_of_veterans_affairs.n.01'),2,Bush appointed Edward J. Derwinski as the first Secretary of Veterans Affairs,Synset('distress.n.01'),1,the death of his wife caused him great distress,0
93,Synset('secret.n.02'),1,the secret of Cajun cooking,Synset('scrape.n.03'),2,all that bowing and scraping did not impress him,1
94,Synset('porringer.n.01'),2,the child was eating pottage from a porringer,Synset('sensation.n.04'),1,the news caused a sensation,0
95,Synset('bus.n.04'),3,the fenders had fallen off that old bus,Synset('kiss.n.04'),1,there was a brief kiss of their hands in passing,0
96,Synset('cooperation.n.01'),2,their cooperation with us was essential for the success of our mission,Synset('vanguard.n.03'),1,the Cotswolds were once at the forefront of woollen manufacturing in England,0
97,Synset('job.n.03'),1,on the job,Synset('man.n.03'),2,it was every man for himself,1
98,Synset('strider.n.01'),2,he was such a strider that she couldn't keep up without running,Synset('buildup.n.03'),1,his letter of recommendation gave her a terrific buildup,0
99,Synset('defense.n.02'),1,sanitation is the best defense against disease,Synset('bentwood.n.01'),2,bentwood chairs,1
100,Synset('carriage.n.03'),1,stood with good posture,Synset('clemency.n.02'),2,he threw himself on the mercy of the court,1
101,Synset('exile.n.01'),2,American expatriates,Synset('record.n.07'),1,they could find no record of the purchase,0
102,Synset('lumen.n.02'),1,the lumen of the intestine,Synset('secretary_of_housing_and_urban_development.n.01'),2,the first Secretary of Housing and Urban Development was Robert C. Weaver who was appointed by Johnson,1
103,Synset('walk-through.n.01'),1,she gave me a walk-through of my new duties,Synset('marching_music.n.01'),2,Sousa wrote the best marches,1
104,Synset('builder.n.02'),2,empire builder,Synset('sanction.n.01'),1,a Democrat usually gets the union's endorsement,0
105,Synset('magnetic_dipole_moment.n.01'),1,An orbiting electron in an atom will have a magnetic dipole moment,Synset('polity.n.03'),2,we was innocent of stratagems and polity,1
106,Synset('product.n.04'),2,a product of lime and nitric acid,Synset('appanage.n.02'),1,bishoprics were received as appanages for the younger sons of great families,0
107,Synset('al-fatah.n.01'),2,al-Fatah carried out numerous acts of international terrorism in western Europe and the Middle East in the 1970s,Synset('eunuch.n.01'),4,eunuchs guarded the harem,1
108,Synset('sex.n.03'),1,he wanted a better sex life,Synset('hacker.n.03'),4,true hackers subscribe to a code of ethics and look down upon crackers,1
109,Synset('authorizer.n.01'),2,the agents report back to their authorizers,Synset('flex.n.01'),1,he gave his biceps a flex to impress the ladies,0
110,Synset('huddler.n.02'),2,low huddlers against the wind,Synset('malpractice.n.01'),1,the widow sued his surgeon for malpractice,0
111,Synset('fineness.n.02'),1,he marvelled at the fineness of her hair,Synset('liquor.n.02'),2,waste liquors,1
112,Synset('serration.n.03'),1,one of the serrations was broken off,Synset('mass.n.08'),2,they played a Mass composed by Beethoven,1
113,Synset('emancipator.n.01'),2,Lincoln is known as the Great Emancipator,Synset('survivor.n.03'),1,only the fittest animals were survivors of the cold winters,0
114,Synset('superlative.n.01'),1,the critics lavished superlatives on it,Synset('light.n.08'),2,the light of my life,1
115,Synset('territory.n.02'),1,his questions covered a lot of territory,Synset('reaction_formation.n.01'),2,his strict morality is just a reaction formation to hide his sexual drive,1
116,Synset('softness.n.10'),1,softness is not something permitted of good leaders,Synset('anchorage.n.03'),2,Anchorage is the largest city in Alaska,1
117,Synset('suit.n.01'),2,they buried him in his best suit,Synset('surveying.n.01'),1,he studied surveying at college,0
118,Synset('memory.n.01'),1,"search as he would, the memory was lost",Synset('tangier.n.01'),2,the first tangerines were shipped from Tangier to Europe in 1841,1
119,Synset('hypothesis.n.02'),1,a scientific hypothesis that survives experimental testing becomes a scientific theory,Synset('girlfriend.n.01'),6,Mary and her girlfriend organized the party,1
120,Synset('porringer.n.01'),2,the child was eating pottage from a porringer,Synset('imperativeness.n.01'),1,the insistence of their hunger,0
121,Synset('distance.n.04'),1,emotional distance,Synset('blue.n.02'),2,she was wearing blue,1
122,Synset('friend.n.01'),2,he was my best friend at the university,Synset('incurability.n.02'),1,the incurability of his optimism,0
123,Synset('nigger.n.01'),4,only a Black can call another Black a nigga,Synset('running.n.04'),2,he has responsibility for the running of two companies at the same time,0
124,Synset('bite.n.05'),1,after fishing for an hour he still had not had a bite,Synset('town.n.01'),2,they drive through town on their way to work,1
125,Synset('paul.n.02'),5,Paul's name was Saul prior to his conversion to Christianity,Synset('base.n.19'),1,a tub should sit on its own base,0
126,Synset('absurdity.n.02'),1,the crowd laughed at the absurdity of the clown's behavior,Synset('question.n.03'),2,he asked a direct question,1
127,Synset('outage.n.02'),1,there will be a network outage from 8 to 10 a.m.,Synset('nuclear_terrorism.n.01'),2,assaults on nuclear power plants is one form of nuclear terrorism,1
128,Synset('turf.n.03'),1,a bureaucracy...chiefly concerned with turf...and protecting the retirement system,Synset('termer.n.01'),2,there are not many fourth termers in the Senate,1
129,Synset('elasticity.n.01'),1,the waistband had lost its snap,Synset('remuneration.n.02'),2,adequate remuneration for his work,1
130,Synset('granite.n.02'),1,a man of granite,Synset('visiting.n.01'),2,"the purpose was to promote homes, clubs, visiting, and other services",1
131,Synset('call.n.04'),1,the call of duty,Synset('schnook.n.01'),2,don't be such an apologetic shnook,1
132,Synset('edge.n.05'),1,he had an edge on the competition,Synset('paper.n.05'),2,he has written many scientific papers,1
133,Synset('fruitage.n.01'),2,a tree highly recommended for its fruitage,Synset('retrofit.n.02'),1,the court ordered a retrofit on all automobiles,0
134,Synset('progress.n.03'),1,he listened for the progress of the troops,Synset('light.n.08'),2,the light of my life,1
135,Synset('truth.n.01'),1,at last he knew the truth,Synset('boy.n.04'),8,"get out of my way, boy",1
136,Synset('ethnarch.n.01'),2,the election of Makarios III to archbishop gave him the status of the ethnarch of Cyprus,Synset('hood.n.09'),1,there are powerful engines under the hoods of new cars,0
137,Synset('cold.n.01'),2,will they never find a cure for the common cold?,Synset('hearth.n.02'),1,driven from hearth and home,0
138,Synset('left-hander.n.02'),2,their pitcher was a southpaw,Synset('bed.n.02'),1,the gardener planted a bed of roses,0
139,Synset('stagnation.n.01'),1,economic growth of less than 1% per year is considered to be economic stagnation,Synset('enemy.n.02'),2,a soldier must be prepared to kill his enemies,1
140,Synset('nation.n.04'),1,the Shawnee nation,Synset('umbrella.n.02'),2,an air umbrella over England,1
141,Synset('acquaintance.n.03'),2,I have trouble remembering the names of all my acquaintances,Synset('claim.n.01'),1,his claim asked for damages,0
142,Synset('school.n.02'),1,the school was built in 1932,Synset('paper.n.05'),2,he has written many scientific papers,1
143,Synset('presidio.n.01'),1,Tucson was first settled as a walled presidio,Synset('point_man.n.01'),2,he is the president's point man on economic issues,1
144,Synset('clearance.n.03'),2,the plane was given clearance to land,Synset('tramp.n.04'),1,the tramp of military boots,0
145,Synset('swimmer.n.01'),2,he was an Olympic swimmer,Synset('bender.n.01'),1,he used pliers as a bender,0
146,Synset('garment.n.01'),2,garments of the finest silk,Synset('feeling.n.06'),1,he had a great feeling for music,0
147,Synset('sweetheart.n.02'),2,he's a sweetheart,Synset('budget.n.01'),1,the laboratory runs on a budget of a million a year,0
148,Synset('breed.n.02'),1,Google represents a new breed of entrepreneurs,Synset('interpreter.n.02'),2,his paintings reveal a sensitive interpreter of nature,1
149,Synset('banana_peel.n.01'),2,he slipped on a banana skin and almost fell,Synset('erosion.n.03'),1,after the accounting scandal there was an erosion of confidence in the auditors,0
150,Synset('alderman.n.01'),2,aldermen usually represent city wards,Synset('man.n.01'),4,there were two women and six men on the bus,1
151,Synset('slammer.n.01'),6,she's a dramatic slammer of doors,Synset('birth.n.02'),1,they celebrated the birth of their first child,0
152,Synset('conformity.n.02'),2,their financial statements are in conformity with generally accepted accounting practices,Synset('survivor.n.03'),1,only the fittest animals were survivors of the cold winters,0
153,Synset('upholder.n.01'),2,firm upholders of tradition,Synset('auction_block.n.01'),1,they put their paintings on the block,0
154,Synset('hands.n.01'),2,my fate is in your hands,Synset('appetite.n.01'),1,an appetite for life,0
155,Synset('mouth.n.08'),1,the jar had a wide mouth,Synset('girlfriend.n.01'),6,Mary and her girlfriend organized the party,1
156,Synset('ruck.n.01'),1,his brilliance raised him above the ruck,Synset('rectifier.n.02'),2,a rectifier of prejudices,1
157,Synset('number.n.07'),1,I hope to become one of their number before I die,Synset('grey.n.06'),2,he was dressed in grey,1
158,Synset('study.n.09'),2,he is a quick study,Synset('waddle.n.01'),1,ducks walk with a waddle,0
159,Synset('homestretch.n.01'),1,they were on the homestretch when the computer crashed,Synset('beverage.n.01'),3,may I take your beverage order?,1
160,Synset('baby_boomer.n.01'),2,they expanded the schools for a generation of baby boomers,Synset('equal_temperament.n.01'),1,equal temperament is the system commonly used in keyboard instruments,0
161,Synset('peacekeeper.n.02'),2,she's the peacekeeper in that family,Synset('fibrinolysis.n.01'),1,drugs causing fibrinolysis have been utilized therapeutically,0
162,Synset('outage.n.02'),1,there will be a network outage from 8 to 10 a.m.,Synset('trial.n.04'),2,he had a fair trial and the jury found him guilty,1
163,Synset('gift_horse.n.01'),1,"it wasn't much, but don't look a gift horse in the mouth",Synset('ruler.n.01'),2,swayer of the universe,1
164,Synset('surrogate_mother.n.01'),2,a surrogate mother is artificially inseminated with the father's semen and carries the fetus to term,Synset('duplicate.n.02'),1,he made a duplicate for the files,0
165,Synset('insulation.n.01'),1,the insulation of England was preserved by the English Channel,Synset('tenant.n.01'),2,the landlord can evict a tenant who doesn't pay the rent,1
166,Synset('backbone.n.02'),2,he didn't have the guts to try it,Synset('ring.n.08'),1,she had rings on every finger,0
167,Synset('main_street.n.02'),2,Main Street will never vote for a liberal politician,Synset('menstrual_cycle.n.01'),1,the average menstrual cycle is 28 days,0
168,Synset('quota.n.01'),1,all the salesmen met their quota for the month,Synset('transaction.n.01'),2,no transactions are possible without him,1
169,Synset('start.n.01'),1,it was off to a good start,Synset('subject.n.06'),2,the subjects for this investigation were selected randomly,1
170,Synset('companion.n.01'),2,drinking companions,Synset('squeeze.n.08'),1,getting through that small opening was a tight squeeze,0
171,Synset('breeze.n.01'),1,the breeze was cooled by the lake,Synset('authority.n.02'),2,the authorities have issued a curfew,1
172,Synset('night.n.04'),1,three nights later he collapsed,Synset('sale.n.02'),2,they tried to boost sales,1
173,Synset('corpus.n.02'),1,he edited the Hemingway corpus,Synset('action.n.09'),2,recent federal action undermined the segregationist position,1
174,Synset('finding.n.03'),1,the findings in the gastrointestinal tract indicate that he died several hours after dinner,Synset('fanatic.n.01'),2,A fanatic is one who can't change his mind and won't change the subject,1
175,Synset('waterloo.n.02'),2,he met his waterloo,Synset('ready-made.n.01'),1,their apartment was furnished with ready-mades,0
176,Synset('annum.n.01'),1,per annum,Synset('bacteriophage.n.01'),2,phage uses the bacterium's machinery and energy to produce more phage until the bacterium is destroyed and phage is released to invade surrounding bacteria,1
177,Synset('repeater.n.01'),2,the audience consisted largely of repeaters who had seen the movie many times,Synset('climate.n.01'),1,the dank climate of southern Wales,0
178,Synset('commercial_enterprise.n.02'),2,computers are now widely used in business,Synset('prospectus.n.01'),1,a prospectus should contain the facts that an investor needs to make an informed decision,0
179,Synset('fairness.n.01'),2,the judge recognized the fairness of my claim,Synset('elevation.n.06'),1,a dancer of exceptional elevation,0
180,Synset('flare_pass.n.01'),1,he threw a flare to the fullback who was tackled for a loss,Synset('giver.n.01'),2,there are no greater givers than those who give themselves,1
181,Synset('treasure.n.03'),1,the children returned from the seashore with their shells and other treasures,Synset('requirement.n.01'),2,the requirements of his work affected his health,1
182,Synset('hour.n.03'),1,it was their finest hour,Synset('nurser.n.01'),2,a great nurser of pennies,1
183,Synset('boldness.n.02'),1,I couldn't believe her boldness,Synset('arterial_blood.n.01'),2,except for the pulmonary artery the arterial blood is rich in oxygen,1
184,Synset('core.n.02'),1,the ball has a titanium core,Synset('bus.n.04'),3,the fenders had fallen off that old bus,1
185,Synset('seal.n.03'),2,a coat of seal,Synset('peripheral.n.01'),1,disk drives and printers are important peripherals,0
186,Synset('moonwalk.n.01'),1,Michael Jackson perfected the moonwalk in the 1980s,Synset('left-hander.n.02'),2,their pitcher was a southpaw,1
187,Synset('execution.n.06'),2,the agency was created for the implementation of the policy,Synset('prohibition.n.05'),1,they were restrained by a prohibition in their charter,0
188,Synset('reincarnation.n.01'),2,his reincarnation as a lion,Synset('effigy.n.01'),1,the coin bears an effigy of Lincoln,0
189,Synset('peacekeeper.n.02'),2,she's the peacekeeper in that family,Synset('sink.n.02'),1,the ocean is a sink for carbon dioxide,0
190,Synset('adenosine_deaminase.n.01'),5,ADA deficiency can lead to one form of severe combined immunodeficiency disease,Synset('no-goal.n.01'),1,he lived without a reason progressing toward no-goal,0
191,Synset('stupid.n.01'),2,"The economy, stupid!",Synset('course.n.04'),1,if you persist in that course you will surely fail,0
192,Synset('collaboration.n.01'),2,they worked either in collaboration or independently,Synset('death.n.04'),1,it was the death of all his plans,0
193,Synset('technocracy.n.01'),1,technocracy was described as that society in which those who govern justify themselves by appeal to technical experts who justify themselves by appeal to scientific forms of knowledge,Synset('resistance.n.04'),2,the enemy offered little resistance,1
194,Synset('defense.n.01'),2,they died in the defense of Stalingrad,Synset('business.n.07'),1,Government and business could not agree,0
195,Synset('skeleton.n.01'),2,the battalion was a mere skeleton of its former self,Synset('crunch.n.02'),1,an end-of-the year crunch,0
196,Synset('juice.n.04'),2,digestive juices,Synset('music.n.03'),1,his music was his central interest,0
197,Synset('straight_line.n.01'),1,the shortest distance between two points is a straight line,Synset('construction.n.02'),2,I concluded from his awkward constructions that he was a foreigner,1
198,Synset('praise.n.01'),1,he always appreciated praise for his work,Synset('pedicab.n.01'),2,boys who once pulled rickshaws now pedal pedicabs,1
199,Synset('assistant.n.01'),2,my invaluable assistant,Synset('elements.n.01'),1,they felt the full fury of the elements,0
200,Synset('corner.n.09'),1,he knocked off the corners,Synset('crab_apple.n.03'),3,crabapples make a tangy jelly,1
201,Synset('sigh.n.02'),1,she heard the sigh of the wind in the trees,Synset('bus.n.04'),3,the fenders had fallen off that old bus,1
202,Synset('screwup.n.01'),2,a typical bureaucratic screwup,Synset('mile.n.08'),1,he holds the record in the mile,0
203,Synset('rate.n.02'),1,a 10-minute phone call at that rate would cost $5,Synset('shedder.n.01'),2,a great hunter and spiller of blood,1
204,Synset('business.n.09'),2,his business with the cane was hilarious,Synset('foreign_country.n.01'),1,working in a foreign country takes a bit of getting used to,0
205,Synset('experiment.n.03'),1,as an experiment he decided to grow a beard,Synset('clemency.n.02'),2,he threw himself on the mercy of the court,1
206,Synset('lotus-eater.n.01'),2,in the Odyssey Homer tells of lotus-eaters who live in dreamy indolence,Synset('immigration.n.02'),1,the increased immigration strengthened the colony,0
207,Synset('porringer.n.01'),2,the child was eating pottage from a porringer,Synset('application.n.01'),1,he advocated the application of statistics to the problem,0
208,Synset('zakat.n.01'),2,the zakat is earmarked for the poor and disabled,Synset('data.n.01'),1,statistical data,0
209,Synset('assortment.n.01'),1,a great assortment of cars was on display,Synset('pyongyang.n.01'),3,Pyongyang is Korea's oldest city but little of its history has been preserved,1
210,Synset('chapter.n.02'),1,the industrial revolution opened a new chapter in British history,Synset('enlightenment.n.03'),2,the Enlightenment brought about many humanitarian reforms,1
211,Synset('igbo.n.01'),3,most Igbo are farmers,Synset('fatality.n.01'),1,a decrease in the number of automobile fatalities,0
212,Synset('nest.n.02'),1,a machine-gun nest,Synset('stopper.n.03'),2,if my partner has a spade stopper I can bid no trump,1
213,Synset('centromere.n.01'),1,the centromere is difficult to sequence,Synset('toe_box.n.01'),3,the toe box may be rounded or pointed,1
214,Synset('acquaintance.n.03'),2,I have trouble remembering the names of all my acquaintances,Synset('environment.n.01'),1,he longed for the comfortable environment of his living room,0
215,Synset('off-day.n.01'),1,I guess this is one of my off-days,Synset('girlfriend.n.01'),6,Mary and her girlfriend organized the party,1
216,Synset('load.n.02'),1,the system broke down under excessive loads,Synset('waste.n.01'),2,they collect the waste once a week,1
217,Synset('high.n.01'),1,summer temperatures reached an all-time high,Synset('rigout.n.01'),2,What a queer rigout!,1
218,Synset('waddler.n.01'),2,fat waddlers who walk like pigeons,Synset('polish.n.02'),1,they performed with great polish,0
219,Synset('coloring_material.n.01'),2,she used a different color for the trim,Synset('grimace.n.01'),1,she made a grimace at the prospect,0
220,Synset('evasion.n.02'),2,his evasion of all his creditors,Synset('piece.n.06'),1,he wrote an interesting piece on Iran,0
