,id,synset1,depth1,sentence1,synset2,depth2,sentence2,specific
15,16,Synset('reputation.n.03'),8,he acquired a reputation as an actor before he started writing,Synset('estimate.n.05'),7,they had a high estimation of his ability,0
16,17,Synset('military_action.n.01'),7,he saw action in Korea,Synset('battle.n.01'),8,Grant won a decisive victory in the battle of Chickamauga,1
17,18,Synset('playback.n.01'),12,he was allowed to hear the playback of his testimony,Synset('reproduction.n.04'),10,Gutenberg's reproduction of holy texts was far more efficient,0
18,19,Synset('channel.n.05'),7,it must go through official channels,Synset('liaison.n.02'),8,he provided a liaison with the guerrillas,1
19,20,Synset('seasonal_adjustment.n.01'),11,seasonal adjustments for housing starts must be made in mid-winter,Synset('allowance.n.03'),10,an allowance for profit,0
20,21,Synset('effect.n.03'),8,he just did it for effect,Synset('impression.n.01'),7,his impression of her was favorable,0
21,22,Synset('sincerity.n.02'),9,his sincerity inspired belief,Synset('singleness.n.01'),10,the singleness of his motives could not be questioned,1
22,23,Synset('sight.n.02'),5,he was a familiar sight on the television,Synset('spectacle.n.01'),6,the tragic spectacle of cripples trying to escape,1
23,24,Synset('latitude.n.02'),7,the new freedom in movies and novels,Synset('liberty.n.02'),6,liberty of opinion,0
24,25,Synset('differentiation.n.01'),8,it is necessary to make a distinction between love and infatuation,Synset('contradistinction.n.01'),9,sculpture in contradistinction to painting,1
25,26,Synset('ruggedness.n.02'),7,the ruggedness of the mountains,Synset('hilliness.n.01'),8,the hilliness of West Virginia,1
26,27,Synset('shock_wave.n.01'),8,the explosion created a shock wave,Synset('sonic_boom.n.01'),9,a sonic boom follows an aircraft as a wake follows a ship,1
27,28,Synset('sense.n.02'),6,the dictionary gave several senses for the word,Synset('meaning.n.01'),5,what is the meaning of this sentence,0
28,29,Synset('shove.n.01'),8,he gave the door a shove,Synset('elbowing.n.01'),10,elbowing is a foul in basketball,1
29,30,Synset('tablet.n.03'),8,a tablet of soap,Synset('cake.n.01'),7,a bar of chocolate,0
30,31,Synset('bunker_mentality.n.01'),8,after so many suicide bombings the Israelis have to resist developing a bunker mentality,Synset('defensiveness.n.01'),7,his defensiveness was manifested in hurt silence,0
31,32,Synset('exoticism.n.01'),6,he loved the exoticism of Egypt,Synset('foreignness.n.01'),5,the strangeness of a foreigner,0
32,33,Synset('electric_shock.n.01'),12,they used cattle prods to administer electric shocks,Synset('torture.n.05'),11,it required unnatural torturing to extract a confession,0
33,34,Synset('brush.n.09'),9,I had a brush with danger on my way to work,Synset('contact.n.01'),8,they kept in daily contact,0
34,35,Synset('imperativeness.n.02'),9,he pressed his demand with considerable instancy,Synset('urgency.n.02'),8,the urgency of his need,0
35,36,Synset('pile.n.03'),8,she made a bundle selling real estate,Synset('money.n.02'),7,all his money is in real estate,0
36,37,Synset('survivor_guilt.n.01'),10,survivor guilt was first noted in those who survived the Holocaust,Synset('sorrow.n.02'),7,he drank to drown his sorrows,0
37,38,Synset('beggar-my-neighbor_policy.n.01'),10,the United States has pursued a beggar-my-neighbor policy,Synset('policy.n.01'),9,it was a policy of retribution,0
38,39,Synset('non-euclidean_geometry.n.01'),12,non-Euclidean geometries discard or replace one or more of the Euclidean axioms,Synset('hyperbolic_geometry.n.01'),13,Karl Gauss pioneered hyperbolic geometry,1
39,40,Synset('nickel.n.03'),11,a nickel bag of drugs,Synset('bill.n.03'),9,he peeled off five one-thousand-zloty notes,0
40,41,Synset('reproach.n.01'),8,words of reproach,Synset('blame.n.02'),9,he took the blame for it,1
41,42,Synset('regard.n.06'),7,she mistook his manly regard for love,Synset('affection.n.01'),6,he had trouble expressing the affection he felt,0
42,43,Synset('embodiment.n.01'),9,the embodiment of hope,Synset('personification.n.01'),8,she is the personification of optimism,0
43,44,Synset('landscaping.n.02'),10,they spent a great deal of money on the landscaping,Synset('plot.n.02'),8,a bean plot,0
44,45,Synset('integer.n.01'),6,an integer is a number that is not a fraction,Synset('quadrillion.n.01'),8,in England they call a septillion a quadrillion,1
45,46,Synset('fad.n.01'),11,he always follows the latest fads,Synset('vogue.n.01'),9,leather is the latest vogue,0
46,47,Synset('spill.n.04'),10,he had a nasty spill on the ice,Synset('slip.n.07'),9,he blamed his slip on the ice,0
47,48,Synset('nerve_center.n.01'),9,the nerve center of the diamond industry is in Amsterdam,Synset('center.n.11'),8,they received messages from several centers,0
48,49,Synset('attachment.n.05'),9,attachment to a formal agenda,Synset('ecclesiasticism.n.01'),10,their ecclesiasticism overwhelmed their religion,1
49,50,Synset('promise.n.02'),8,there is little or no promise that he will recover,Synset('rainbow.n.02'),9,chasing rainbows,1
50,51,Synset('fever_pitch.n.01'),10,the crowd was at fever pitch,Synset('excitement.n.02'),9,his face was flushed with excitement and his hands trembled,0
51,52,Synset('wound.n.03'),8,he feared that mentioning it might reopen the wound,Synset('distress.n.01'),7,the death of his wife caused him great distress,0
52,53,Synset('secret.n.02'),6,the secret of Cajun cooking,Synset('password.n.01'),8,he forgot the password,1
53,54,Synset('door.n.03'),11,we closed the door to Haitian immigrants,Synset('open_door.n.02'),12,he maintained an open door for all employees,1
54,55,Synset('colony.n.01'),6,the American colony in Paris,Synset('plantation.n.02'),7,the practice of sending convicted criminals to serve on the Plantations was common in the 17th century,1
55,56,Synset('enticement.n.03'),8,his enticements were shameless,Synset('ingratiation.n.01'),10,she refused to use insinuation in order to gain favor,1
56,57,Synset('sermon.n.02'),9,your preaching is wasted on him,Synset('rebuke.n.01'),7,he had to take the rebuke with a smile on his face,0
57,58,Synset('starter.n.07'),7,to make sourdough you need a starter,Synset('culture.n.04'),6,the culture of cells in a Petri dish,0
58,59,Synset('immobilization.n.02'),9,the storm caused complete immobilization of the rescue team,Synset('restraint.n.01'),8,the unlawful restraint of trade,0
59,60,Synset('idea.n.03'),8,he has an idea that we don't like him,Synset('opinion.n.01'),7,my opinion differs from yours,0
60,61,Synset('squeeze.n.01'),10,he gave her cheek a playful squeeze,Synset('expression.n.09'),11,the expression of milk from her breast,1
61,62,Synset('hug.n.01'),11,come here and give me a big hug,Synset('clasp.n.02'),9,he released his clasp on my arm,0
62,63,Synset('degree.n.01'),5,a moderate grade of intelligence,Synset('foulness.n.03'),8,they were wearied with the foulness of the weather,1
63,64,Synset('mukataa.n.01'),11,Arafat was holed up in the mukataa of his West Bank compound,Synset('headquarters.n.01'),10,many companies have their headquarters in New York,0
64,65,Synset('number.n.11'),8,she preferred the black nylon number,Synset('merchandise.n.01'),7,good business depends on having good merchandise,0
65,66,Synset('omission.n.02'),8,she searched the table for omissions,Synset('neglect.n.02'),7,the house was in a terrible state of neglect,0
66,67,Synset('solicitation.n.01'),9,a solicitation to the king for relief,Synset('importunity.n.01'),10,his importunity left me no alternative but to agree,1
67,68,Synset('stock.n.01'),7,he owns a controlling share of the company's stock,Synset('common_stock.n.01'),8,over 40 million Americans invest in common stocks,1
68,69,Synset('administrivia.n.01'),11,he sets policy and leaves all the administrivia to his assistant,Synset('running.n.04'),10,he has responsibility for the running of two companies at the same time,0
69,70,Synset('title.n.03'),11,the novel had chapter titles,Synset('credit.n.08'),12,the credits were given at the end of the film,1
70,71,Synset('boost.n.03'),8,he gave her a boost over the fence,Synset('push.n.01'),7,he gave the door a hard push,0
71,72,Synset('performance.n.03'),7,they criticised his performance as mayor,Synset('mechanism.n.02'),8,a mechanism of social control,1
72,73,Synset('progress.n.03'),8,he listened for the progress of the troops,Synset('headway.n.02'),9,the ship made little headway against the gale,1
73,74,Synset('health.n.01'),10,physicians should be held responsible for the health of their patients,Synset('wellbeing.n.01'),9,the town was finally on the upbeat after our recent troubles,0
74,75,Synset('admission.n.01'),9,the surgery was performed on his second admission to the clinic,Synset('readmission.n.01'),10,the surgery was performed on his readmission to the clinic,1
75,76,Synset('report.n.02'),8,he heard reports that they were causing trouble,Synset('indirect_discourse.n.01'),9,he said `I am a fool' would be modified to `he said he is a fool',1
76,77,Synset('hatchery.n.01'),8,the park authorities operated a trout hatchery,Synset('place.n.02'),7,who owns this place?,0
77,78,Synset('trouble.n.01'),7,one trouble after another delayed the job,Synset('matter.n.04'),8,is anything the matter?,1
78,79,Synset('inspection.n.01'),10,the platoon stood ready for review,Synset('check.n.06'),11,they made a check of their equipment,1
79,80,Synset('mercy.n.04'),9,it was a mercy we got out alive,Synset('blessing.n.02'),8,enjoy the blessings of peace,0
80,81,Synset('barren.n.01'),8,the barrens of central Africa,Synset('wilderness.n.03'),7,it was a wilderness preserved for the hawks and mountaineers,0
81,82,Synset('rhyming_slang.n.01'),8,Cockney rhyming slang,Synset('slang.n.02'),7,they don't speak our lingo,0
82,83,Synset('man.n.01'),9,there were two women and six men on the bus,Synset('one_of_the_boys.n.01'),11,he quickly became one of the boys,1
83,84,Synset('formality.n.03'),9,courtroom formality,Synset('conformity.n.02'),8,their financial statements are in conformity with generally accepted accounting practices,0
84,85,Synset('stomach.n.04'),9,exercise gave him a good stomach for dinner,Synset('appetite.n.01'),8,an appetite for life,0
85,86,Synset('bastion.n.01'),7,a bastion against corruption,Synset('defense.n.09'),6,he joined the defense against invasion,0
86,87,Synset('buying.n.01'),9,buying and selling fill their days,Synset('marketing.n.03'),11,does the weekly marketing at the supermarket,1
87,88,Synset('beginning.n.02'),5,they got an early start,Synset('cradle.n.03'),7,he was taught from the cradle never to cry,1
88,89,Synset('ring_containment.n.01'),10,ring containment is a proven method of halting a smallpox epidemic,Synset('containment.n.03'),9,the containment of the AIDS epidemic,0
89,90,Synset('duplicate.n.02'),9,he made a duplicate for the files,Synset('match.n.04'),10,when a match is found an entry is made in the notebook,1
90,91,Synset('business.n.09'),11,his business with the cane was hilarious,Synset('shtik.n.02'),12,play it straight with no shtik,1
91,92,Synset('sell.n.01'),11,it was a hard sell,Synset('sale.n.02'),10,they tried to boost sales,0
92,93,Synset('preference.n.03'),9,"given my druthers, I'd eat cake",Synset('option.n.02'),8,what option did I have?,0
93,94,Synset('moisture.n.01'),7,drops of wet gleamed on the window,Synset('wetness.n.01'),6,he confirmed the wetness of the swimming trunks,0
94,95,Synset('cake.n.01'),7,a bar of chocolate,Synset('tablet.n.03'),8,a tablet of soap,1
95,96,Synset('rain.n.03'),8,a rain of bullets,Synset('sequence.n.02'),7,the doctor saw a sequence of patients,0
96,97,Synset('quantum_leap.n.01'),9,this may not insure success but it will represent a quantum leap from last summer,Synset('jump.n.01'),8,a jump in attendance,0
97,98,Synset('gossip.n.02'),9,the divorce caused much gossip,Synset('talk.n.05'),10,there has been talk about you lately,1
98,99,Synset('demand.n.04'),7,the kidnapper's exorbitant demands for money,Synset('extortion.n.02'),9,the extortion by dishonest officials of fees for performing their sworn duty,1
99,100,Synset('deservingness.n.01'),7,there were many children whose deservingness he recognized and rewarded,Synset('good.n.03'),5,weigh the good against the bad,0
100,101,Synset('monopoly.n.01'),8,a monopoly on silver,Synset('corner.n.07'),9,a corner on the silver market,1
101,102,Synset('kingdom_come.n.01'),8,he nearly blew us to kingdom come,Synset('life.n.05'),6,the battery had a short life,0
102,103,Synset('flare.n.08'),8,she felt a flare of delight,Synset('demonstration.n.05'),5,the lecture was accompanied by dramatic demonstrations,0
103,104,Synset('ghetto.n.01'),9,the Warsaw ghetto,Synset('quarter.n.02'),8,the Latin Quarter,0
104,105,Synset('presumption.n.03'),9,he despised them for their presumptuousness,Synset('boldness.n.02'),7,I couldn't believe her boldness,0
105,106,Synset('function.n.03'),9,the function of a teacher,Synset('stead.n.01'),10,can you go in my stead?,1
106,107,Synset('mess_of_pottage.n.01'),5,Esau sold his birthright to Jacob for a mess of pottage,Synset('value.n.03'),4,he tried to estimate the value of the produce at normal prices,0
107,108,Synset('lack.n.01'),7,there is a serious lack of insight into the problem,Synset('need.n.01'),6,she satisfied his need for affection,0
108,109,Synset('virulence.n.02'),9,the virulence of the malicious old man,Synset('hostility.n.01'),8,he could not conceal his hostility,0
109,110,Synset('flatness.n.03'),10,it needed lemon juice to sharpen the flatness of the dried lentils,Synset('taste.n.01'),9,the candy left him with a bad taste,0
110,111,Synset('caption.n.01'),9,a mere caption unworthy of a reply,Synset('exception.n.03'),8,his authority is beyond exception,0
111,112,Synset('match.n.04'),10,when a match is found an entry is made in the notebook,Synset('duplicate.n.02'),9,he made a duplicate for the files,0
112,113,Synset('course.n.04'),7,if you persist in that course you will surely fail,Synset('straight_and_narrow.n.01'),9,he taught his children to keep strictly to the straight and narrow,1
113,114,Synset('grave.n.01'),7,he went to his grave without forgiving me,Synset('death.n.04'),6,it was the death of all his plans,0
114,115,Synset('showcase.n.01'),8,it was a showcase for democracy in Africa,Synset('setting.n.02'),7,you can't do that in a university setting,0
115,116,Synset('medicine.n.03'),10,he studied medicine at Harvard,Synset('preventive_medicine.n.01'),11,the medical establishment doesn't profit from preventive medicine,1
116,117,Synset('altitude.n.01'),9,the altitude gave her a headache,Synset('level.n.04'),10,the water reached ankle level,1
117,118,Synset('fastidiousness.n.01'),6,neatness and fastidiousness of dress,Synset('squeamishness.n.02'),7,the program was withdrawn because of the squeamishness of some viewers,1
118,119,Synset('interest.n.05'),7,they have interests all over the world,Synset('right.n.08'),8,mineral rights,1
119,120,Synset('hallucination.n.03'),7,he refused to believe that the angel was a hallucination,Synset('object.n.04'),6,objects of thought,0
120,121,Synset('show.n.01'),9,a remarkable show of skill,Synset('repudiation.n.03'),12,the debunking of religion has been too successful,1
121,122,Synset('hands.n.01'),10,my fate is in your hands,Synset('guardianship.n.02'),9,he left his car in my keeping,0
122,123,Synset('shtik.n.01'),6,give him a shtik cake,Synset('shtikl.n.01'),7,have a shtikl cake,1
123,124,Synset('point.n.07'),8,what is the point of discussing it?,Synset('goal.n.01'),6,the ends justify the means,0
124,125,Synset('estimate.n.05'),7,they had a high estimation of his ability,Synset('reputation.n.03'),8,he acquired a reputation as an actor before he started writing,1
125,126,Synset('development.n.07'),7,after he saw the latest development he changed his mind and became a supporter,Synset('underdevelopment.n.01'),8,much poverty can be traced to the underdevelopment of industry,1
126,127,Synset('trouble.n.04'),10,I went to a lot of trouble,Synset('the_devil.n.01'),11,it will be the devil to solve,1
127,128,Synset('slack.n.03'),9,suddenly they were in a slack and the water was motionless,Synset('stretch.n.01'),8,a stretch of highway,0
128,129,Synset('hemoglobin.n.01'),14,fish have simpler hemoglobin than mammals,Synset('oxyhemoglobin.n.01'),15,oxyhemoglobin transports oxygen to the cells of the body,1
129,130,Synset('bulge.n.01'),8,the gun in his pocket made an obvious bulge,Synset('belly.n.03'),9,the belly of a sail,1
130,131,Synset('injection.n.03'),11,the nurse gave him a flu shot,Synset('fix.n.02'),13,she needed a fix of chocolate,1
131,132,Synset('health.n.01'),10,physicians should be held responsible for the health of their patients,Synset('wellbeing.n.01'),9,the town was finally on the upbeat after our recent troubles,0
132,133,Synset('change.n.06'),3,he inspected several changes before selecting one,Synset('thing.n.08'),2,I couldn't tell what the thing was,0
133,134,Synset('week_from_monday.n.01'),7,a week from Monday will be too soon!,Synset('week.n.01'),6,it rained for a week,0
134,135,Synset('mixed_marriage.n.01'),8,the families of both partners in a mixed marriage often disapprove,Synset('marriage.n.02'),7,his second marriage was happier than the first,0
135,136,Synset('small_print.n.02'),6,he needed his glasses in order to read the fine print,Synset('print.n.01'),5,I want to see it in print,0
136,137,Synset('consolation.n.01'),8,second place was no consolation to him,Synset('cold_comfort.n.01'),9,he told me that time heals all wounds but that was cold comfort to me,1
137,138,Synset('bunker_mentality.n.01'),8,after so many suicide bombings the Israelis have to resist developing a bunker mentality,Synset('defensiveness.n.01'),7,his defensiveness was manifested in hurt silence,0
138,139,Synset('acceptance.n.03'),6,torn jeans received no acceptance at the country club,Synset('welcome.n.01'),7,don't outstay your welcome,1
139,140,Synset('week.n.01'),6,it rained for a week,Synset('week_from_monday.n.01'),7,a week from Monday will be too soon!,1
140,141,Synset('security.n.01'),7,we support the armed services in the name of national security,Synset('peace.n.04'),8,he was arrested for disturbing the peace,1
141,142,Synset('constitution.n.02'),10,the constitution of a PTA group last year,Synset('population.n.05'),12,he deplored the population of colonies with convicted criminals,1
142,143,Synset('view.n.03'),10,he tried to get a better view of it,Synset('eyeful.n.02'),11,they wanted to see violence and they got an eyeful,1
143,144,Synset('outwardness.n.02'),5,the outwardness of the world,Synset('worldliness.n.02'),6,he disliked the worldliness of many bishops around him,1
144,145,Synset('accretion.n.02'),6,he scraped away the accretions of paint,Synset('addition.n.03'),5,there was an addition to property taxes this year,0
145,146,Synset('means.n.01'),7,a means of control,Synset('voice.n.05'),8,the voice of the law,1
146,147,Synset('theme.n.02'),7,it was the usual `boy gets girl' theme,Synset('topos.n.01'),8,James Joyce uses the topos of the Wandering Jew in his Ulysses,1
147,148,Synset('negative.n.01'),8,he answered in the negative,Synset('no.n.01'),9,his no was loud and clear,1
148,149,Synset('contribution.n.01'),8,I am proud of my contribution in advancing the project,Synset('end.n.11'),9,he held up his end,1
149,150,Synset('silver_lining.n.01'),9,every cloud has a silver lining,Synset('consolation.n.01'),8,second place was no consolation to him,0
150,151,Synset('wilderness.n.01'),8,he led the Democratic party back from the wilderness,Synset('disfavor.n.01'),7,he is in disfavor with the king,0
151,152,Synset('footfall.n.01'),7,he heard footsteps on the porch,Synset('tramp.n.04'),8,the tramp of military boots,1
152,153,Synset('aspect.n.01'),10,he studied every facet of the question,Synset('downside.n.01'),12,there is a downside even to motherhood,1
153,154,Synset('extremum.n.02'),6,voltage peak,Synset('skeleton.n.01'),8,the battalion was a mere skeleton of its former self,1
154,155,Synset('struggle.n.03'),10,the struggle to get through the crowd exhausted her,Synset('wrestle.n.01'),11,they had a fierce wrestle,1
155,156,Synset('borrowing.n.01'),8,the borrowing of ancient motifs was very apparent,Synset('crossover.n.03'),9,a jazz-classical crossover album,1
156,157,Synset('lecture.n.02'),8,a good lecture was my father's idea of discipline,Synset('sermon.n.02'),9,your preaching is wasted on him,1
157,158,Synset('office.n.05'),8,the whole office was late the morning of the blizzard,Synset('force.n.04'),6,a public force is necessary to give security to the rights of citizens,0
158,159,Synset('end.n.01'),7,the end of the pier,Synset('point.n.15'),8,he stuck the point of the knife into a tree,1
159,160,Synset('depression.n.10'),8,depression of the space bar on the typewriter,Synset('click.n.04'),9,a click on the right button for example,1
160,161,Synset('property.n.04'),8,self-confidence is not an endearing property,Synset('attraction.n.04'),10,flowers are an attractor for bees,1
161,162,Synset('subtraction.n.02'),10,he complained about the subtraction of money from their paychecks,Synset('bite.n.09'),11,the government's weekly bite from my paycheck,1
162,163,Synset('means.n.01'),7,a means of control,Synset('fast_track.n.01'),8,they saw independence as the fast track to democracy,1
163,164,Synset('abasement.n.01'),10,each confession brought her into an attitude of abasement,Synset('depth.n.04'),11,he had sunk to the depths of addiction,1
164,165,Synset('wrongdoing.n.02'),7,he denied any wrongdoing,Synset('larceny.n.01'),11,the thieving is awful at Kennedy International,1
165,166,Synset('culture.n.06'),6,the developing drug culture,Synset('mosaic_culture.n.01'),7,the city's mosaic culture results in great diversity in the arts,1
166,167,Synset('mistake.n.01'),7,he made a bad mistake,Synset('rounding.n.01'),9,the error in the calculation was attributable to rounding,1
167,168,Synset('circus.n.01'),7,he ran away from home to join the circus,Synset('company.n.04'),6,the traveling company all stayed at the same hotel,0
168,169,Synset('head.n.18'),11,the beer had a large head of foam,Synset('foam.n.01'),10,the beer had a thick head of foam,0
169,170,Synset('modern_times.n.01'),7,in modern times like these,Synset('times.n.01'),6,it was a sign of the times,0
170,171,Synset('engine_block.n.01'),10,the engine had to be replaced because the block was cracked,Synset('copy.n.02'),8,she made a copy of the designer dress,0
171,172,Synset('business.n.05'),8,gossip was the main business of the evening,Synset('occasions.n.01'),9,he minded his own specialized occasions,1
172,173,Synset('ease.n.02'),9,a life of luxury and ease,Synset('lap_of_luxury.n.01'),10,he was raised in the lap of luxury,1
173,174,Synset('armory.n.01'),9,he dipped into his intellectual armory to find an answer,Synset('resource.n.03'),8,a man of resource,0
174,175,Synset('hall.n.03'),9,lecture hall,Synset('floor.n.09'),10,there was a motion from the floor,1
175,176,Synset('inessential.n.01'),4,they discarded all their inessentials,Synset('complement.n.04'),6,a fine wine is a perfect complement to the dinner,1
176,177,Synset('jealousy.n.02'),9,cherish their official political freedom with fierce jealousy,Synset('watchfulness.n.01'),8,"wakefulness, watchfulness, and bellicosity make a good hunter",0
177,178,Synset('cascade.n.02'),8,progressing in severity as though a cascade of genetic damage was occurring,Synset('succession.n.02'),7,a succession of stalls offering soft drinks,0
178,179,Synset('meeting.n.02'),7,there was an informal meeting in my living room,Synset('blind_date.n.02'),9,she never goes on blind dates,1
179,180,Synset('repudiation.n.03'),12,the debunking of religion has been too successful,Synset('exposure.n.09'),11,the exposure of his anger was shocking,0
180,181,Synset('auspices.n.01'),10,the tournament was held under the auspices of the city council,Synset('endorsement.n.05'),9,a star athlete can make a lot of money from endorsements,0
181,182,Synset('side-glance.n.01'),11,she shot him an impatient side-glance,Synset('look.n.02'),9,he went out to have a look,0
182,183,Synset('feeling.n.01'),5,she had a feeling of euphoria,Synset('liking.n.01'),6,I've always had a liking for reading,1
183,184,Synset('criticism.n.01'),6,the senator received severe criticism from his opponent,Synset('berating.n.01'),8,he deserved the berating that the coach gave him,1
184,185,Synset('politics.n.05'),9,unemployment dominated the politics of the inter-war years,Synset('affairs.n.02'),8,news of current affairs,0
185,186,Synset('list_price.n.01'),10,I got it at 30% off the list price,Synset('price.n.02'),8,the price of gasoline,0
186,187,Synset('imponderable.n.01'),8,human behavior depends on many imponderables,Synset('leaven.n.02'),9,his sermons benefited from a leavening of humor,1
187,188,Synset('nervousness.n.02'),7,he suffered an attack of nerves,Synset('strain.n.04'),8,his responsibilities were a constant strain,1
188,189,Synset('stress.n.03'),9,the stress was more on accuracy than on speed,Synset('importance.n.02'),7,a person of importance,0
189,190,Synset('iraqi.n.01'),10,the majority of Iraqi are Arab Shiite Muslims although Sunni Muslims control the government,Synset('hajji.n.01'),11,"to American soldiers, the hajji are the alien people from whom the enemy emerges",1
190,191,Synset('discipline.n.05'),9,the offenders deserved the harsh discipline they received,Synset('spanking.n.01'),10,he gave the brat a good spanking,1
191,192,Synset('notice.n.01'),7,you didn't give me enough notice,Synset('caveat.n.02'),8,a caveat filed against the probate of a will,1
192,193,Synset('rise.n.04'),8,they cheered the rise of the hot-air balloon,Synset('uplifting.n.01'),9,the uplifting of the clouds revealed the blue of a summer sky,1
193,194,Synset('decree.n.01'),9,a friend in New Mexico said that the order caused no trouble out there,Synset('stay.n.03'),10,the Supreme Court has the power to stay an injunction pending an appeal to the whole Court,1
194,195,Synset('pretense.n.01'),10,his conformity was only pretending,Synset('appearance.n.06'),11,they try to keep up appearances,1
195,196,Synset('line.n.01'),6,the line of soldiers advanced with their bayonets fixed,Synset('row.n.01'),7,a row of chairs,1
196,197,Synset('world_affairs.n.01'),9,you can't really keep up with world affairs by watching television,Synset('affairs.n.02'),8,news of current affairs,0
197,198,Synset('gradient.n.02'),5,a five-degree gradient,Synset('pitch.n.05'),6,the roof had a steep pitch,1
198,199,Synset('cry.n.02'),6,a cry of rage,Synset('lament.n.01'),8,their pitiful laments could be heard throughout the ward,1
199,200,Synset('housecleaning.n.01'),11,more housecleaning is in store at other accounting firms,Synset('reform.n.01'),10,justice was for sale before the reform of the law courts,0
200,201,Synset('change.n.05'),9,I paid with a twenty and pocketed the change,Synset('cash.n.01'),8,there is a desperate shortage of hard cash,0
201,202,Synset('feeling.n.06'),8,he had a great feeling for music,Synset('sprachgefuhl.n.01'),9,Dubyuh has no sprachgefuhl,1
202,203,Synset('call.n.09'),8,many calls for Christmas stories,Synset('recall.n.02'),9,the recall of our ambassador,1
203,204,Synset('merchandise.n.01'),7,good business depends on having good merchandise,Synset('number.n.11'),8,she preferred the black nylon number,1
204,205,Synset('appeal.n.02'),8,his smile was part of his appeal to her,Synset('siren_call.n.01'),9,he succumbed to the siren call of the wilderness,1
205,206,Synset('feeling.n.01'),5,she had a feeling of euphoria,Synset('frisson.n.01'),8,a frisson of surprise shot through him,1
206,207,Synset('dwelling.n.01'),8,he built a modest dwelling near the pond,Synset('house.n.01'),9,he has a house on Cape Cod,1
207,208,Synset('understanding.n.01'),8,he has virtually no understanding of social cause and effect,Synset('appreciation.n.01'),9,he has a good grasp of accounting practices,1
208,209,Synset('modernity.n.01'),10,a shopping mall would instill a spirit of modernity into this village,Synset('presentness.n.01'),8,a study of the pastness of the present and...of the presentness of the past,0
209,210,Synset('abatement.n.02'),11,laws enforcing noise abatement,Synset('moderation.n.04'),10,the object being control or moderation of economic depressions,0
210,211,Synset('countercurrent.n.02'),9,political crosscurrents disrupted the conference,Synset('conflict.n.01'),7,the harder the conflict the more glorious the triumph,0
211,212,Synset('round.n.04'),11,the doctor goes on his rounds first thing every morning,Synset('call.n.11'),10,the pastor's calls on his parishioners,0
212,213,Synset('street_name.n.02'),8,`smack' is a street name for heroin,Synset('slang.n.02'),7,they don't speak our lingo,0
213,214,Synset('demand.n.04'),7,the kidnapper's exorbitant demands for money,Synset('extortion.n.02'),9,the extortion by dishonest officials of fees for performing their sworn duty,1
214,215,Synset('capaciousness.n.01'),8,the very capaciousness of the idea meant that agreement on fundamentals was unnecessary,Synset('breadth.n.01'),7,a teacher must have a breadth of knowledge of the subject,0
215,216,Synset('footprint.n.01'),6,the police made casts of the footprints in the soft earth outside the window,Synset('footprint_evidence.n.01'),7,there was footprint evidence that he had been at the scene of the crime,1
216,217,Synset('gasp.n.01'),8,she gave a gasp and fainted,Synset('breath.n.01'),6,he took a deep breath and dived into the pool,0
217,218,Synset('fork.n.03'),8,they took the south fork,Synset('branch.n.03'),7,he broke off one of the branches,0
218,219,Synset('own_right.n.01'),12,a peer in his own right,Synset('title.n.07'),11,a strong legal claim to the property,0
